,id,sentence_wolof,sentence_fr,sentence_en
0,1,Na nga def ?,Comment vas tu ?,How are you ?
1,2,Mangui gui fi,Je vais bien,I'm fine
2,3,"iow nak, no def ?","Et toi, comment va tu ?","And you, how are you ?"
3,4,Mangui ci diam,Ca va,I'm good
4,5,Kay gnou lekk,Viens on mange,Let's take a meal
5,6,Gnata att nga am ?,Quelle age as-tu ?,How old are you ?
6,7,Tay dama woorr,J'ai jeûné aujourd'hui,I fasted today
7,8,Fane nga deuk ?,Où est-ce que tu habites ?,Where do you live ?
8,9,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,What's your name ?
9,10,Mangui toudou X,Je m'appelle X,My name is X
10,11,Dama la sokhla,J'ai besoin de toi,I need you
11,12,Dama khiff,J'ai faim,I am hungry
12,13,Dama marr,J'ai soif,I am thirsty
13,14,Mangui joko si leund mi,Je me connecte sur le web,I am surfing on the web
14,15,Dama beug lou jeum si waloum xarala,J'adore la Technologie,I love Technology
15,16,Dama beug ndekki,Je veux prendre un petit déjeuner,I want to take a breakfast
16,17,Dama beug Agne,Je veux prendre un déjeuner,I want to have lunch
17,18,Dama beug rére,Je veux prendre un dîner,I want to have a dinner
18,19,Damay takk jabar,Je vais me marier,I'm getting married
19,20,Mayma khaliss,Donne moi de l'argent,Give me some money
20,21,Bane wakhtu mo joot ?,Quelle heure fait-il ?,What time is it ?
21,22,Dama sonne,Je suis fatigué,I'm tired
22,23,Bu la neexee,S’il vous plaît,Please
23,24,Amul sólo,Je vous en prie,You’re welcome
24,25,Kay niou dem,Viens on y va,Come let's go
25,26,Jéggël ma,Excusez-moi,Excuse me
26,27,Ndax dégg nga angale ?,Parlez-vous anglais ?,Do you speak English ?
27,28,Dégg nga ?,Comprenez-vous ?,Do you understand ?
28,29,Dégg naa,Je comprends,I understand
29,30,Dégguma,Je ne comprends pas,I don’t understand
30,31,Nanga tudd ?,Quel est ton nom ?,What is your name ?
31,32,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,How was your night ?
32,33,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,How much is it from here to Sandaga ?
33,34,Fan mooy seen wanaag ?,Où sont les toilettes ?,Where is the toilet ?
34,35,Neexoon na,C'était bon,It was good
35,36,Mi ngi ci jàmm,Il/Elle va bien,He/She is fine
36,37,Ñaata lay jar ?,Combien ça coûte ?,How much is it ?
37,38,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,How much are you selling this for ?
38,39,Seer na lool,C'est très cher,That’s very expensive
39,40,Wagniil mako,Diminue moi ça,Turn it down for me
40,41,Lougnouy lekk ?,Qu'est ce qu'on mange ?,What do we eat ?
41,42,Dama khawa diapp !,Je suis un peu occupé !,I am a little busy !
42,43,Naka nga yendo ?,Comment s'est passée ta journée ?,How was your day ?
43,44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,he day before yesterday I went to your house
44,45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,I came to bring you your money
45,46,Dama nékone daara dja,J'étais à l'école,I was at school
46,47,Damay saakou xam-xam,Je suis à la quête de connaissance,I am on a quest for knowledge
47,48,Nianal ma !,Prie pour moi !,Pray for me !
48,49,Témérri Diouni,Cent milles,One hundred thousand
49,50,Damala beug,Je t'aime,I love you
50,51,Dama gueuméntou,J'ai sommeil,I feel sleepy
51,52,Dama beug nelaw,Je veux dormir,I want to sleep
52,53,Fane nga dieum ni ?,Où vas-tu ?,Where are you going ?
53,54,amna bac si atoum 2019,,
54,55,Aka safe,,
55,56,Souba amoul pass !,,
56,57,Tay moom da maa beg look sah,,
57,58,Looy ree nii rek?,,
58,59,amna ndam,,
59,60,Bateau le djola migui kepou le 26 septembre 2002,,
60,61,Senegal rewu terangara,,
61,62,Yalla rek mooy buur,,
62,63,Amna jamono, ma bëggóon a tukki lool waaye mujjul sotti gannaaw jéegó yima seqi yëpp ak coono gima ci daj, mu metti woon ma lool.,,
63,64,Ginnaaw bima bokkee ci benn joŋante, dama cee jëlee ndam lu rëy yóbb raw-gàddu gi.,,
64,65,Bët du yenu waaye xam na lu bopp àttan,,
65,66,naka war,,
66,67,Yangui ci jamm,,
67,68,lepp nice,,
68,69,Tay dama guaniou si tank,,
69,70,Tay moom da maa beg look sah,,
70,71,"Biik, ndawum reew mi, gene na nu wane sen naxar ci doxalinu Macky Sall. Lolu dafay wane rek ni reew mi begu nu ab nooteil wala sal faane ak ay yellefu doomi aadama. Am naa ci mbegte lol",,
71,72,xalaat bi amna solo,,
72,73,reew mi meeti na,,
73,74,Yalla na nu borom bi may mucc gu rafét,,
74,75,Ziar nala,,
75,76,jam,,
76,77,RER,,
77,78,Tawténa ba tooy heep,,
78,79,Sama yaye moma door bama daag,,
79,80,Dama hawa tawat tay,,
80,81,Sama yaram nekhoul,,
81,82,"deuk bi barina ndox teksi féép tas kén, amul fo diar ba guéén xana nga xuss ci ndox mu salté bi rek moy péxé",,
82,83,Kaay fii,,
83,84,Naka seu dougouda moungui dalakh ?,,
84,85,Rew mo khamni ndakar souba ndakar ngone ken manoufé am diaamou,,
