,id,message,emotion
0,1,Rew mo khamni ndakar souba ndakar ngone ken manoufé am diaamou,Positive
1,2,Naka seu dougouda moungui dalakh ?,Positive
2,3,Kaay fii,Positive
3,4,"deuk bi barina ndox teksi féép tas kén, amul fo diar ba guéén xana nga xuss ci ndox mu salté bi rek moy péxé",Negative
4,5,Sama yaram nekhoul,Positive
5,6,Dama hawa tawat tay,Negative
6,7,Sama yaye moma door bama daag,Positive
7,8,Tawténa ba tooy heep,Positive
8,9,Ziar nala,Positive
9,10,",Yalla na nu borom bi may mucc gu rafét",Positive
10,11,xalaat bi amna solo,Positive
11,12,Tay moom da maa beg look sah,Positive
12,13,Tay moom da maa beg look sah,Positive
13,14,lepp nice,Positive
14,15,naka war,Positive
15,16,"Ginnaaw bima bokkee ci benn joŋante, dama cee jëlee ndam lu rëy yóbb raw-gàddu gi.",Positive
16,17,Yalla rek mooy buur,Positive
17,18,Senegal rewu terangara,Positive
18,19,amna ndam,Positive
19,20,Looy ree nii rek?,Positive
20,21,Tay moom da maa beg look sah,Positive
21,22,Souba amoul pass !,Positive
22,23,Aka safe,Positive
23,24,Fane nga dieum ni ?,Positive
